ID,date,sex,UTM,NOR,EAS,location,site,headLength,snoutVentLength,tailLength,totalLength,weight_g,autotomy
TAFN89,2/24/2016,F,25,565082,9575001,Floresta Velha,APA,1.5,9.1,13.2,22.3,13,Old
TAFN90,2/24/2016,M,25,565247,9575140,Floresta Velha,APA,2,10.9,19.5,30.4,26,
TAFN91,2/24/2016,M,25,565330,9575117,Floresta Velha,APA,1.9,11.3,,11.3,33,Recent
TAFN92,2/24/2016,M,25,565539,9575042,Vila dos Remedios,APA,2.3,11.3,15.1,26.4,36,Old
TAFN93,2/24/2016,F,25,566468,9577018,Ilha de Sao Jose,Secondary,1.5,8.7,15,23.7,12,
TAFN94,2/24/2016,M,25,566524,9577060,Ilha de Sao Jose,Secondary,1.9,10.4,13.3,23.7,24,
TAFN95,2/25/2016,M,25,566617,9575852,Air France,PARNA,1.7,8.9,16,24.9,14,
TAFN96,2/25/2016,M,25,566764,9576265,Air France,PARNA,1.9,9.6,12.3,21.9,18,Old
TAFN97,2/25/2016,M,25,566726,9576421,Air France,PARNA,1.8,9.9,16.9,26.8,18,
TAFN98,2/25/2016,M,25,566726,9576421,Air France,PARNA,1.4,8.1,11,19.1,11,Recent
TAFN99,2/26/2016,M,25,566032,9575134,Vila do Trinta,APA,2,10.5,12,22.5,21,Old
TAFN23,2/20/2015,F,25,564023,9574759,Piquinho,PARNA,,,,,9,
TAFN103,10/31/2016,F,25,561580,9572480,Capim Acu,PARNA,,,,,10,
